Taller,1,Taller,2,Taller,3,Taller,4,Taller,5,Taller,6,Taller,7,Taller,8
100,40,30,0,20,29,50,32
100,90,100,100,85,96,80,85
83,75,25,28,45,58,75,55
94,90,100,100,75,113,80,100
90,75,55,20,52,34,55,50
93,55,90,20,70,68,50,105
100,85,50,20,42,81,80,70
36,75,30,80,42,32,25,0
85,80,90,5,52,88,50,0
102,110,90,0,80,68,80,88
100,67,75,60,60,96,50,55
89,70,85,100,75,88,80,70
97,105,105,120,110,98,100,100
93,85,55,80,80,98,50,55
100,70,60,0,75,66,70,105
76,75,65,80,85,95,80,100
59,60,65,100,35,29,60,55
80,85,85,10,60,68,50,88
90,90,40,67,80,66,70,65
93,75,85,10,70,34,60,55
92,85,70,20,70,58,55,70
91,80,65,24,75,81,80,70
85,62,85,38,70,96,50,65
80,80,95,28,110,95,50,50
71,58,55,100,35,32,70,100
100,80,30,80,80,68,60,32
100,60,100,95,110,113,80,85
94,73,45,0,35,0,0,0
84,90,95,100,110,96,100,55
92,75,70,38,70,68,60,65
